id_cliente,nombre,direccion,telefono,email
1,Carlos Ramirez,"Calle 123, Ciudad A",1234567890,carlos.ramirez@email.com
2,Maria Lopez,"Avenida 456, Ciudad B",9876543210,maria.lopez@email.com
3,Jose Perez,"Carrera 789, Ciudad C",1122334455,jose.perez@email.com
4,Ana Torres,"Calle 321, Ciudad D",5566778899,ana.torres@email.com
5,Luis Fernandez,"Avenida 654, Ciudad E",6677889900,luis.fernandez@email.com
6,Patricia Gomez,"Carrera 987, Ciudad F",7788990011,patricia.gomez@email.com
7,Fernando Diaz,"Calle 741, Ciudad G",8899001122,fernando.diaz@email.com
8,Laura Mendoza,"Avenida 852, Ciudad H",9900112233,laura.mendoza@email.com
9,Ricardo Alvarez,"Carrera 963, Ciudad I",1010101010,ricardo.alvarez@email.com
10,Andrea Castro,"Calle 159, Ciudad J",1111222233,andrea.castro@email.com
11,David Herrera,"Avenida 357, Ciudad K",2222333344,david.herrera@email.com
12,Sofia Rojas,"Carrera 753, Ciudad L",3333444455,sofia.rojas@email.com
13,Jorge Morales,"Calle 258, Ciudad M",4444555566,jorge.morales@email.com
14,Valeria Suarez,"Avenida 369, Ciudad N",5555666677,valeria.suarez@email.com
15,Emilio Ortega,"Carrera 147, Ciudad O",6666777788,emilio.ortega@email.com
